이름,성별,연령,휴대폰번호,신용대출한도 ,신용등급
고광영,M,67,1096950679,763900000,3
이순자,F,50,1054620925,15900000,4
정창기,M,68,1028040168,39800000,3
이봉주,M,72,1081825893,295000000,3
정원만,M,44,1034696503,314700000,4
노일규,M,69,1018193826,7100000,6
오순이,F,42,1082967326,41500000,3
박성한,M,44,1090099128,212300000,4
진정란,F,66,1041622061,42700000,7
차판석,M,84,1083705424,11300000,9
김남기,M,60,1090243707,5200000,8
강정숙,F,52,1034971457,38000000,3
김선욱,F,60,1067149262,63700000,3
임영자,F,71,1037276116,31800000,4
송영준,M,59,1024245004,2100000,8
남명숙,F,55,1083492413,270700000,2
정성미,F,62,1055183847,13200000,4
한동문,M,68,1083551897,20200000,6
김석환,M,15,1037896234,1200000,10
정옥희,F,74,1074607001,99300000,3
황정남,M,40,1036597371,488500000,2
윤석필,M,47,1054806137,59600000,4
문채영,F,56,1095365329,289300000,2
김진철,M,31,1057282441,162200000,5
염정의,M,46,1056055771,13300000,8
조범행,M,79,1094556120,680800000,2
최명학,M,44,1033762284,16700000,6
조순진,F,62,1076430164,14900000,9
홍종수,M,51,1080398042,128000000,3
곽희원,F,63,1012673762,48500000,3
박정길,M,47,1027983597,41000000,7
장진노,M,66,1021404521,17100000,7
이병용,M,55,1097973158,1900000,9
이강이,F,51,1099725382,22000000,4
변영자,F,30,1034765939,3100000,6
유진숙,F,47,1050719497,1700000,9
조정희,F,56,1022351424,8500000,7
송영숙,F,81,1050205835,20100000,4
박종숙,F,49,1012942227,44100000,4
권점준,M,44,1017336081,71800000,6
최영자,F,44,1043820253,19900000,4
이영선,F,39,1061300418,526500000,1
서필례,F,67,1086028130,21500000,8
장경복,M,57,1042974490,43800000,6
조성진,M,52,1040649196,446100000,2
안석환,M,35,1096274049,11100000,5
이삼례,F,61,1098658227,40800000,4
이창희,M,41,1030079854,4800000,9
서달상,M,47,1085102570,8200000,7
이서현,F,72,1020184747,163200000,2
진순여,F,50,1032507432,18400000,8
박영희,F,61,1015664590,9500000,7
서정은,F,69,1044199241,820100000,3
문인규,M,50,1057455931,4400000,7
황영웅,M,42,1043648770,77600000,4
박찬근,M,36,1032421931,3400000,7
임종숙,F,49,1056967391,11100000,5
김일남,M,54,1055844299,69200000,6
정영희,F,66,1056009925,79700000,4
설경수,M,39,1048390556,6100000,7
안금순,F,61,1064089826,42900000,3
신영태,M,77,1073622800,138100000,4
조병무,M,57,1058262308,20300000,7
이지선,F,50,1059279248,85800000,5
황명선,F,60,1012498413,385900000,2
김신자,F,53,1010437791,70600000,3
박광차,M,10,1079879791,55100000,6
신정수,M,52,1054651552,24200000,7
황상임,F,51,1039628781,346900000,2
김미숙,F,69,1088307884,803600000,1
김달수,M,73,1016635099,25000000,7
정승길,M,65,1080259728,563200000,2
이제영,F,44,1082873990,17200000,6
전현숙,F,66,1084316376,48900000,3
박재용,M,66,1015866866,17200000,8
김은식,M,48,1084798064,1800000,9
송원희,F,52,1037047323,2300000,10
김종안,M,6,1018451101,590500000,1
김정이,F,37,1048910073,36100000,7
성현심,F,28,1042112063,14300000,8
정인옥,F,59,1096102644,21200000,4
홍교여,M,46,1080805010,61700000,4
전란수,F,55,1072275778,4800000,8
천성임,F,69,1028525513,457700000,2
황인덕,M,49,1098897432,13600000,9
최범용,M,47,1032222492,2400000,9
주효복,F,46,1076208990,26500000,4
김정오,M,54,1023899708,81800000,4
정난홍,F,30,1063694342,19500000,4
윤철희,M,54,1013649337,159900000,3
명재경,F,74,1012919187,34500000,4
김재영,F,70,1039840642,55800000,3
장혜숙,F,48,1079478623,17900000,4
이채윤,F,64,1083510293,2000000,9
황일수,M,34,1077657591,2100000,8
양석산,M,82,1026858803,450700000,3
김치환,M,56,1026707521,746200000,1
이경학,M,62,1075164096,155200000,4
고종숙,F,65,1093407460,5900000,6
황성희,F,56,1063145132,607500000,1
이기환,F,60,1037846481,15900000,9
최석문,M,44,1034771260,237300000,4
신형순,F,55,1097451923,14300000,9
이대성,M,64,1012225574,13000000,3
이기순,F,61,1043567368,88400000,3
백연옥,M,64,1020023305,4100000,8
강기복,M,61,1016932918,1200000,10
조현희,F,46,1053073455,2600000,9
정윤철,M,64,1049593549,15100000,4
한성구,M,62,1089983033,6100000,8
함영귀,F,57,1056123387,51900000,4
김문기,M,74,1028091544,30200000,5
이혜숙,F,47,1063278104,481700000,2
금병대,M,66,1062857576,4600000,9
김순분,F,52,1028159219,5300000,7
나기두,M,70,1076100739,24200000,7
서정화,F,71,1038957871,75300000,3
최수옥,F,59,1090082211,117100000,3
김선경,F,49,1088519739,2800000,10
정재영,M,56,1057608110,8900000,6
박을순,F,47,1011526959,21200000,8
박찬숙,F,48,1021627512,82700000,3
이순규,M,61,1086266296,15500000,7
안재영,M,68,1037470446,18300000,7
구정회,M,54,1049154614,57800000,4
이연수,F,68,1032928217,3500000,9
정은영,F,50,1067627670,77800000,3
한남진,M,68,1085898141,199400000,4
김현근,M,55,1034750089,10400000,6
윤주창,M,73,1058359967,160200000,5
김성,M,28,1015055997,68300000,6
김미자,F,39,1011692945,12700000,5
이연호,F,42,1022928813,137700000,3
한상희,F,47,1046390241,6100000,9
유가취,M,60,1059932357,2200000,3
정인규,M,72,1087502031,68500000,6
이기옥,M,38,1078082875,7100000,9
김제용,M,75,1099896148,17600000,8
오복자,F,63,1025107009,67900000,3
이상옥,F,45,1030622244,34700000,4
이은영,F,71,1065662765,2600000,7
조윤자,F,68,1088800922,2600000,10
윤성자,F,48,1023177968,349600000,3
정진섭,M,60,1045593686,42000000,6
남궁창원,M,66,1093164186,443100000,3
서정대,M,39,1078260374,49000000,4
장수정,F,72,1081677617,144600000,5
김규교,M,53,1098997540,139100000,4
배말미,F,75,1089955140,22700000,3
정영길,M,44,1067547170,247200000,4
박길선,M,67,1094775702,17300000,8
이상욱,M,38,1046142742,13800000,6
이희용,M,61,1092835035,32800000,7
이선미,F,60,1056629104,2100000,10
주병완,M,49,1086922606,444100000,2
김수진,F,55,1071458865,83300000,6
이정희,F,70,1030680440,14200000,4
윤인희,F,51,1015982257,63000000,3
남순도,M,70,1032362319,4100000,10
한성분,F,60,1026370202,47900000,3
권태민,F,59,1099737111,423200000,2
염현숙,F,60,1054598097,11900000,5
정은유,F,43,1037224968,13500000,5
배덕순,F,35,1040581490,51200000,3
김창길,M,31,1023206613,37600000,7
정기욱,F,67,1076097070,14300000,6
하현강,M,32,1059306468,174700000,2
김일연,M,44,1024846251,8100000,8
이재금,F,80,1032410310,61900000,3
허재영,M,59,1012387577,38000000,2
구순산,F,47,1073281175,49400000,3
심영애,F,59,1067081390,252000000,2
김소정,F,44,1037930484,7600000,5
최옥미,F,16,1044297476,176100000,2
백정숙,F,52,1034839559,25800000,4
이남진,M,39,1051487681,768800000,2
김명숙,F,59,1082667916,4800000,7
강옥규,M,58,1097101680,163700000,4
장순엽,F,43,1040621886,137200000,3
오창주,M,71,1059679117,1000000,9
한순자,F,34,1017672878,34600000,3
임영자,F,67,1064889932,1700000,8
김회녀,F,46,1019818367,223500000,4
김대현,M,48,1035457440,15500000,9
안현주,F,52,1046075504,1500000,10
김태옥,F,66,1029955600,19900000,4
손경숙,F,61,1085855634,772800000,1
전금이,F,66,1012860279,971500000,1
한상례,F,46,1029147665,8400000,9
정상례,F,71,1026303634,16900000,4
문정옥,F,56,1070400769,451500000,3
이의일,M,68,1035338196,14800000,7
조석자,F,64,1028070711,73500000,3
김미경,F,19,1018463022,32600000,5
고유선,M,68,1010455069,11000000,8
하정기,M,72,1043763572,93800000,3
김기원,M,64,1077708327,389400000,3
이성주,M,32,1047013055,561800000,1
박광목,M,59,1044004091,164800000,2
전영숙,F,55,1044234137,335100000,2
정명자,F,58,1076672117,8900000,5
최필언,F,39,1085135385,26600000,5
박행생,M,75,1091325351,18200000,8
이옥춘,F,55,1026659968,7600000,6
김진옥,F,50,1077477798,27100000,7
김정호,M,67,1016082827,31700000,7
지경애,F,44,1012983400,56300000,3
김추자,F,52,1075840611,40000000,3
옥경희,F,75,1089105806,59900000,6
임소의묵,F,44,1056693207,3500000,7
강외자,F,55,1015001638,11500000,7
권초자,F,55,1010491129,29400000,6
한응준,M,73,1017655232,21800000,6
노근희,F,55,1034810190,26400000,7
한두희,M,43,1087522947,4400000,5
이광덕,M,76,1043347663,10400000,8
김영봉,M,63,1073502035,135600000,4
김인숙,F,68,1042654522,1300000,9
박범준,F,61,1014752696,4000000,8
박간옥,F,46,1055820389,476700000,2
권정애,F,42,1083861804,583500000,1
장옥자,F,48,1025935978,2600000,6
윤화중,F,29,1039974165,71700000,6
김광수,M,59,1040898738,118400000,5
이정숙,F,46,1073593936,17500000,4
이덕순,F,66,1021031401,37800000,4
엄기영,M,47,1033485441,211300000,3
송민옥,F,84,1055628082,5200000,6
김연화,F,63,1083173523,266300000,2
이재분,F,12,1058418221,94600000,3
이위란,F,64,1016794823,611500000,1
신금주,F,34,1089069339,47100000,4
나종순,F,22,1039904876,633600000,2
정숙희,F,38,1036808265,31200000,7
임순희,F,14,1091983917,312900000,4
박종미,F,59,1051854075,2300000,7
박성남,F,47,1050868816,34100000,4
최은순,F,73,1044159332,562800000,1
홍금옥,F,35,1011118780,18700000,7
최문숙,F,2,1093923217,58500000,5
김연석,M,39,1042968951,135700000,3
김학연,F,49,1079185432,9000000,5
최영수,M,42,1031726397,758700000,3
김순봉,M,48,1015906335,51800000,6
김상기,M,41,1029242784,12900000,7
김용석,M,56,1037639014,14900000,7
이영숙,F,64,1014368248,24900000,7
안홍순,F,66,1032182190,2900000,7
서정이,F,56,1048307735,18100000,6
임진희,M,44,1033942770,29400000,8
김유미,F,41,1025670160,129500000,2
최순희,F,60,1048464640,190500000,2
이상준,M,45,1098327994,99600000,3
안귀례,F,50,1083622157,58600000,4
전승규,M,62,1022408472,49500000,3
최성권,M,40,1050211049,9300000,9
이양현,F,70,1023786376,9200000,9
차윤례,F,68,1052583265,184900000,2
김평순,F,38,1034185042,23500000,4
강신욱,M,25,1034487800,132000000,5
윤순례,F,42,1083018173,8100000,8
박경배,M,35,1092089212,2700000,9
전영석,M,39,1025096027,3000000,10
이옥희,F,70,1030673459,6300000,6
김종분,F,32,1060394049,357400000,2
우정희,F,59,1056086953,12500000,4
최영임,F,20,1034139029,58100000,3
이민자,F,30,1029396098,23900000,8
전재우,M,26,1043149803,8200000,9
유귀자,F,64,1073753877,21400000,4
원태홍,M,42,1024930370,3400000,8
양동심,F,40,1039759176,75000000,3
남원대,M,35,1061915174,56200000,7
최만덕,F,68,1014919231,66400000,4
이화자,F,55,1094583703,7200000,7
최영은,F,41,1091662612,3800000,10
박연심,F,56,1099839226,330800000,2
천상세,M,75,1043730167,53100000,4
황맹순,F,73,1084793472,5800000,9
천영복,M,45,1096420032,28600000,5
정문희,F,35,1018882630,13900000,4
이진숙,F,48,1016852891,1400000,6
이현복,F,66,1025538315,91600000,3
최형순,F,73,1072066565,218100000,2
김종선,F,40,1072654826,15000000,6
이춘우,M,51,1025404957,18200000,6
백영숙,F,66,1045386566,8000000,8
김수한,M,60,1074044971,135900000,3
김은화,F,59,1054965677,11000000,5
정학수,M,45,1050225937,131600000,5
황철호,M,41,1054529610,70200000,6
주시조,M,41,1079431867,2300000,10
김숙화,F,46,1095041717,52400000,3
이용진,M,47,1028682411,41300000,5
허은영,F,49,1038201093,153400000,3
임유경,F,69,1064819065,794500000,1
오관석,M,54,1013628384,43900000,7
이정숙,F,64,1023984491,286200000,1
전영식,M,75,1021495521,48900000,3
전성표,M,56,1056242553,4800000,6
신수동,F,53,1068131187,191300000,2
조옥환,F,42,1099502517,5200000,8
이대용,M,61,1083628770,37500000,6
김형원,M,73,1096691243,12900000,7
김무형,M,43,1051368060,18300000,4
민복기,F,69,1014452256,63200000,3
안순단,F,70,1067614871,47400000,7
이순이,F,34,1058108131,1100000,9
이원희,F,57,1039716953,481000000,2
김영심,F,51,1019056948,23500000,4
배영화,M,52,1084296347,3500000,9
고용의,M,60,1038285859,15200000,6
허미은,F,53,1089563486,129500000,3
허복심,F,37,1099606612,654500000,1
박선아,F,57,1081211747,21600000,4
허영희,F,50,1010926145,97200000,3
고형주,M,69,1033363393,46400000,4
박분임,F,54,1045772845,347400000,2
정승명,M,39,1088935858,762800000,2
권길택,M,50,1063483732,114800000,4
김복용,M,37,1023158456,1500000,10
오용성,M,70,1035789772,15700000,6
박영분,F,9,1060571096,125600000,3
박정호,M,37,1019936537,22200000,4
이상호,M,58,1049735654,272000000,3
김수영,F,38,1019069795,5100000,9
이경진,F,54,1014599230,4400000,6
서판교,M,70,1027918707,59800000,4
김기순,F,41,1078945642,59800000,4
최순화,F,80,1088919390,586500000,1
피강홍,M,53,1061486728,6600000,7
송귀례,F,48,1057248804,557100000,2
고의형,F,64,1020523941,184100000,3
김덕근,M,72,1042525831,214000000,2
최선욱,F,49,1088152918,18900000,8
박규철,M,47,1086118528,474500000,2
윤한생,M,31,1083883685,12300000,7
염영섭,M,56,1053921658,3200000,8
김윤식,M,60,1017747029,40600000,4
김지숙,F,67,1062659633,743700000,1
손칠순,F,72,1035905185,4700000,6
김광치,M,38,1069559712,418800000,3
민성혜,F,52,1068177750,8200000,5
장민재,M,52,1014980890,113200000,6
정선옥,F,75,1081330178,16800000,4
홍정선,F,44,1040995084,4100000,6
박서남,F,59,1080486479,13000000,9
이윤임,F,76,1090801516,8300000,6
어옥남,F,49,1052845457,11600000,7
김지선,F,12,1074785658,37100000,3
김연성,M,8,1034561192,11100000,9
성실,M,36,1056437665,14000000,9
이건호,M,65,1046774588,1900000,9
이상수,M,69,1071339063,853200000,3
김용숙,M,52,1013651589,11500000,7
김영무,M,59,1056117599,9800000,8
이귀상,M,7,1013735562,35600000,4
이순철,M,79,1086301118,70800000,3
백남오,M,36,1013990092,70800000,4
이기원,M,56,1062897220,38400000,7
최헌용,M,62,1092645821,118900000,4
서분이,F,46,1067988064,2400000,7
옥치백,M,45,1041972629,18000000,8
김호무,M,48,1054741304,878000000,3
권천복,M,37,1068865665,18800000,6
박민주,M,56,1091284870,6000000,9
권혁춘,F,71,1060138487,71500000,3
배쌍녀,F,41,1090619318,27500000,8
강금순,F,72,1038336011,1600000,9
양정순,F,52,1034526196,19500000,4
이정화,F,54,1070241680,127400000,3
주영종,M,53,1058402359,14500000,9
정경화,F,27,1023470946,229000000,2
구해균,M,30,1022653098,34200000,7
강선진,M,30,1030767192,27900000,5
이영수,M,46,1051967139,574500000,1
최영섭,M,44,1087205910,18300000,6
이성실,F,76,1089853289,29100000,4
이경용,M,53,1016005713,342100000,3
원유열,F,32,1030028564,21800000,8
박인옥,F,33,1014973000,13900000,4
최웅일,M,67,1059594797,297100000,4
최승희,F,72,1035960141,38000000,4
김윤관,M,39,1054994192,490400000,2
이순옥,F,61,1054298974,17800000,8
이병주,F,71,1097081057,34100000,4
이수한,M,21,1042388760,5000000,8
김석임,F,68,1023825642,64300000,4
김정숙,F,55,1048632876,16900000,7
강경희,F,51,1049627761,36300000,4
황길순,M,68,1022664899,17200000,3
박비송,F,64,1091133886,28400000,3
박한규,M,45,1090664230,24600000,8
이현주,F,59,1036208953,35900000,3
이하구,M,21,1051575761,95700000,3
허성강,M,50,1094691222,5000000,9
김태중,M,10,1012602861,36100000,7
노승환,M,47,1052251076,14700000,8
박정구,M,54,1030971055,15000000,8
김문자,F,38,1039307062,70500000,4
서건희,M,39,1081033426,31000000,7
김복남,M,48,1015285622,46000000,4
최정숙,F,63,1017022488,38500000,7
명노옥,F,42,1074211956,657600000,1
주행열,M,54,1043558522,2500000,9
최순옥,F,46,1096390688,5400000,6
오동흡,M,46,1074406622,44500000,6
김현숙,F,64,1034264183,4000000,6
김병호,M,71,1035602837,23500000,7
최인하,M,51,1011352858,320700000,2
조순진,F,69,1074984946,25500000,8
이상수,M,62,1099057079,2100000,10
양오림,F,52,1027801924,93400000,3
유옥순,F,53,1062558093,3900000,8
송경호,M,55,1084268070,1600000,9
정순남,F,53,1067490140,1300000,9
임기대,M,43,1027003861,1700000,10
기영희,F,65,1084643601,898400000,2
김기태,M,51,1055407089,2400000,8
이영식,M,46,1078210937,139700000,4
도영숙,F,61,1073889556,230800000,2
엄복자,F,38,1082137993,24700000,4
이덕교,M,59,1056044904,11200000,6
박성주,F,26,1083980211,52500000,5
김병종,M,56,1082469652,15300000,7
강석만,M,50,1087898472,59500000,5
정태손,F,38,1069028074,18200000,4
구본영,M,65,1073918509,169600000,3
신종호,M,62,1078544027,44600000,3
진박중,M,48,1082162809,25500000,7
윤금순,F,54,1063643054,26900000,4
안영한,M,36,1094614068,50000000,4
강문복,M,59,1035196056,71800000,6
안재호,M,73,1037484134,754300000,3
박승현,M,40,1075312021,2000000,9
김금순,F,37,1099063840,2900000,7
김택상,M,62,1079271461,17600000,8
김지홍,M,45,1061200621,22200000,7
김양환,M,22,1056124679,14900000,9
김영각,M,47,1095048895,339200000,2
기노한,M,52,1019835753,156000000,3
양옥예,F,41,1041341861,7200000,7
김은순,F,65,1078389285,346100000,2
박순영,F,27,1091090815,63200000,4
권동헌,M,69,1049308233,73200000,6
신성순,F,45,1023887185,601800000,3
김태형,F,47,1092187916,9100000,8
이만호,M,44,1093130987,409500000,3
박길순,F,54,1070372791,269000000,2
박은정,F,50,1055635232,161000000,3
신선심,F,76,1090646717,11400000,7
박기현,M,55,1072050057,3000000,8
박종언,M,61,1096115966,46600000,7
김진화,F,55,1084949338,59100000,3
진영희,F,53,1051245467,4200000,6
박순옥,F,65,1079306932,2500000,5
윤복순,F,61,1028882967,591900000,3
이황재,M,71,1063595661,17200000,4
안상호,M,42,1069332843,1500000,6
최청수,M,43,1014475230,35500000,7
신풍자,F,60,1010672718,18200000,4
김옥희,F,58,1043270510,36900000,7
이중희,F,43,1090498745,784600000,2
김호봉,M,66,1047914638,43000000,3
김정길,M,70,1026067212,20900000,8
김정희,F,56,1067689176,265200000,4
최정임,F,73,1014847495,77900000,6
김성자,F,37,1018741441,59200000,6
김경란,F,46,1061217845,2400000,7
문종진,M,29,1092343905,23300000,4
최춘범,M,60,1046903346,941700000,2
정영숙,F,37,1066684631,578800000,1
오석철,M,60,1066293841,7000000,9
김혜자,F,47,1023577157,15200000,8
박문순,F,54,1030507594,9700000,5
박계동,M,39,1099751220,13800000,6
전성자,F,75,1029024399,9000000,9
김영창,M,65,1028944182,231500000,2
박종화,M,34,1078613881,79500000,6
신연희,F,44,1069191584,230500000,3
김희숙,F,57,1017741069,7000000,6
박래붕,M,48,1029986734,87800000,3
김은희,F,68,1086925109,129500000,3
이종해,F,58,1095190365,4000000,5
이연봉,M,45,1056090285,172900000,3
손영현,M,70,1037047155,5900000,9
정미선,F,70,1040766210,4000000,9
박봉식,M,58,1064083495,38500000,4
이태석,M,42,1097949609,132100000,4
장광택,M,69,1019974035,15300000,6
이건호,M,67,1083238074,37000000,7
김화자,F,37,1078352138,11400000,9
양면례,F,45,1018980903,1700000,7
오타관,M,67,1087860377,29200000,8
김기용,M,60,1099821886,10700000,4
박희태,M,33,1026484467,2900000,10
유정희,M,48,1030758473,9200000,8
윤금순,F,69,1019151591,48800000,3
이행진,M,48,1094900145,58300000,7
이병도,M,53,1028147331,159400000,3
한규선,M,49,1042254937,387000000,3
박근삼,M,56,1089519996,5100000,8
김점순,F,25,1021049600,129900000,4
장분례,F,52,1057575947,21000000,6
남명춘,F,46,1043139567,71900000,3
강호례,F,62,1042500540,39900000,4
김형선,M,60,1040240425,12500000,8
김상정,M,64,1066751295,20800000,6
김옥분,F,50,1035078866,663000000,1
황규태,M,72,1096383492,264800000,4
이본진,M,47,1075723026,10200000,6
배형수,M,59,1026226633,34900000,4
강신해,F,77,1025097690,190900000,4
이말엽,F,44,1074396709,19700000,4
김흥태,M,50,1049301154,21200000,7
조영삼,M,73,1079758345,15400000,8
김종찬,M,68,1019712273,13600000,9
서동임,F,52,1042263208,63100000,3
서현선,F,43,1045656548,5000000,6
전우벽,M,42,1034901257,25000000,3
이동숙,F,72,1074013313,296800000,2
장방우,M,70,1041026948,18300000,6
김순자,F,68,1083896988,38700000,4
이춘호,F,44,1078521602,49600000,3
박미래,F,48,1089109270,264100000,3
이춘자,F,26,1092983496,437400000,2
이연기,M,69,1060304644,54400000,6
김영자,F,52,1045290520,80900000,6
한윤희,F,41,1099073577,19100000,8
김헌창,M,46,1053239673,199200000,4
이상옥,F,49,1066413704,2500000,7
오순희,F,43,1061968769,3800000,9
박화옥,F,67,1033009363,2800000,6
이충호,M,62,1045860403,8200000,7
송재육,F,44,1016475610,21300000,6
윤정순,F,50,1092884771,8100000,4
성정지,F,58,1085604061,9100000,9
이송림,F,12,1049037674,54300000,4
심재숙,F,47,1072081016,1600000,10
정영훈,M,35,1027474640,49600000,6
장윤아,F,48,1014808254,33600000,4
홍의선,M,40,1046667805,4800000,8
한종훈,M,35,1058302839,9100000,5
임헌빈,M,60,1037190757,435300000,3
구명서,M,41,1071908176,111000000,4
김태석,M,39,1097841962,188600000,4
차대현,M,55,1014187394,2600000,10
김규철,M,64,1014522321,50200000,5
김호분,F,72,1043867548,11200000,5
김용도,M,41,1012539280,158500000,5
장한례,F,71,1067521356,344400000,2
정정희,F,64,1018988725,15300000,8
이현식,M,36,1056522551,79400000,4
김미혜,F,83,1048296938,205000000,3
유원진,M,63,1081926870,522300000,3
이제희,F,51,1076188631,52900000,5
강홍수,M,60,1022146850,49400000,7
박용례,F,79,1018189359,793500000,1
김항식,M,57,1076371624,764100000,3
윤영호,M,51,1026561822,66700000,6
강승길,M,48,1078310515,1000000,10
유정종,M,35,1070674303,13300000,9
이명숙,F,50,1041463109,246400000,2
엄나영,F,67,1065149863,5900000,9
최숙희,F,70,1037860918,716900000,1
윤옥영,M,61,1055220593,35800000,4
노방신,F,69,1066974463,163700000,4
김정님,F,43,1059444397,287600000,3
박순덕,F,30,1061698274,2100000,7
임성향,F,55,1077639482,1800000,7
조응복,F,63,1045466855,531700000,3
박희순,F,54,1056771548,9800000,7
김성주,M,46,1052377344,873100000,1
박상숙,F,58,1017568617,37400000,4
임완증,M,63,1091999255,15300000,8
이옥권,M,36,1061579029,15300000,5
강유길,M,58,1036556694,15500000,8
최민자,F,37,1023526522,20600000,8
김승철,M,59,1085163527,96700000,3
정상열,M,44,1064186564,2400000,9
한관순,F,56,1028925969,5700000,6
온인환,M,57,1090419555,281400000,3
박예환,M,43,1072743251,119800000,5
이경자,F,60,1050463583,119700000,5
김순희,F,70,1079789561,63000000,3
김행무,M,36,1055132903,71300000,6
안영선,F,46,1016470125,72600000,3
송인욱,M,41,1063122970,272800000,3
김종분,F,51,1014824204,3000000,6
차효순,F,63,1014707457,4400000,10
엄명희,F,47,1018940112,15000000,4
서명자,F,71,1083390186,110400000,5
신영순,F,59,1076536900,74600000,4
고환성,M,45,1087023440,111500000,6
장경문,M,83,1076936277,337000000,2
권희숙,F,71,1040029477,139000000,3
박화순,F,78,1055351389,207400000,2
박희옥,F,56,1074386570,42000000,3
김명자,F,67,1027721136,23200000,4
이순이,F,40,1039506636,3300000,8
왕수웅,M,68,1065186511,55300000,4
김삼현,M,71,1080334878,5800000,8
이성희,F,69,1035827464,37400000,7
이관구,M,51,1040859961,28800000,8
이기수,M,38,1094877486,15300000,7
김숙와,F,39,1043656889,111600000,3
김인숙,F,49,1022353939,104900000,3
남영기,M,58,1087654342,45000000,6
이정은,F,64,1084201257,169800000,1
송선순,F,54,1052677874,33200000,7
성윤근,M,50,1081031049,187800000,3
성영숙,F,64,1083916173,6800000,9
양승신,M,59,1060907396,30800000,8
문성만,M,33,1092411107,24800000,5
김병준,M,31,1065790532,316500000,3
전홍근,M,73,1035031454,14300000,8
정선옥,F,58,1040671923,59400000,3
이영애,F,46,1082716065,20900000,4
우상현,M,28,1048501344,27600000,8
나승휘,M,45,1017378594,414300000,3
최경화,F,75,1037297787,4100000,9
이순애,F,40,1043563283,1900000,10
이덕화,F,48,1075157706,13400000,5
이교성,M,56,1053625610,41000000,3
김송형,M,43,1060913774,9600000,9
허방,M,30,1060685372,172500000,4
배성옥,F,67,1057962650,12700000,6
이명숙,F,43,1035172906,512700000,1
권영준,M,52,1019109615,114100000,4
한금숙,F,52,1042248753,652500000,1
하규호,M,78,1075304846,2100000,9
배재만,M,75,1035559457,30100000,4
양수창,M,63,1083542797,33300000,7
박미숙,F,68,1090122287,76200000,3
신금철,M,35,1037902247,40500000,7
홍백운,M,70,1098187749,22800000,8
이병주,M,62,1032440944,67400000,6
박계홍,F,35,1023953532,621900000,1
유석성,M,66,1047564343,68500000,6
임헌용,M,49,1084273540,44900000,4
양재랑,M,37,1054045093,32400000,5
조영화,F,43,1093264390,315900000,4
남상진,M,62,1044037834,5400000,6
김미환,F,45,1026309134,50200000,3
모종정,M,66,1061861808,21900000,3
박영흠,M,48,1024334126,46300000,3
이상길,M,32,1015172357,348600000,4
문현자,F,35,1075923692,3400000,8
홍완태,M,61,1032654210,16700000,6
이호식,M,69,1064297682,226600000,3
김근복,M,67,1066566578,64600000,5
강정임,F,46,1078200871,150700000,3
윤순임,F,67,1069992718,375000000,2
신판용,M,70,1094650533,97700000,3
김락준,M,65,1058147276,11800000,6
홍성세,F,61,1085740879,6800000,6
노복수,M,61,1088158487,11100000,8
박정민,M,75,1011120646,51400000,3
정금련,F,36,1033867228,35700000,4
김응식,M,48,1040315260,3500000,8
조만래,M,75,1086712575,304200000,2
김원숙,F,27,1085157012,5300000,5
조희자,F,71,1044385190,9700000,7
조인순,F,72,1042674734,32000000,4
이순덕,F,61,1010711879,14300000,9
백윤흠,M,54,1096237240,107400000,6
김현수,M,62,1048991314,648800000,3
정남영,F,75,1026292873,10800000,5
이석용,M,22,1095029860,69400000,4
신혜,F,55,1038706267,3200000,7
하종락,M,36,1030783248,121900000,3
유옥자,F,59,1082567491,46100000,3
방한기,M,55,1093438258,17100000,6
전선미,F,63,1095405383,34100000,4
고광석,M,58,1033207770,5500000,4
안미자,F,64,1048409843,78400000,3
강기영,M,46,1046850344,40500000,4
박주현,M,60,1069992573,12500000,8
정성녀,F,55,1062809386,1800000,6
조경구,M,65,1050464271,23900000,5
유희자,F,15,1059866525,117100000,2
박재명,F,55,1076288094,2800000,6
김철원,M,61,1023080394,614900000,2
주양식,M,72,1087620296,24600000,8
채혜경,F,43,1087483557,20600000,4
김계순,F,44,1034448481,2800000,6
강이분,F,57,1042927500,69900000,3
이경춘,F,52,1096664651,38500000,4
조광성,M,63,1072713925,7500000,7
신희숙,F,37,1034898267,5200000,6
김명자,F,49,1093615360,21200000,4
이장춘,F,63,1077650355,4800000,6
신동인,M,50,1084177983,187800000,3
김양기,M,48,1036118866,38400000,4
오양수,F,37,1038124181,1100000,9
유영숙,F,68,1014068708,21900000,7
민옥기,F,41,1017342396,202100000,2
이애경,F,62,1083349849,162700000,4
김옥조,F,68,1054922434,1100000,6
신두식,M,65,1060318927,8700000,9
유미순,F,65,1015240689,2600000,7
김금수,F,39,1047266705,4900000,2
조용자,F,68,1063103282,697600000,1
고진천,M,53,1069893050,67300000,4
한진숙,F,41,1060931957,422700000,2
장순애,F,70,1041988155,1800000,7
최기섭,M,36,1028533870,7600000,9
김기회,M,48,1032428602,31200000,4
박수진,F,33,1049459377,534600000,1
최정미,F,42,1051549959,7200000,7
박애순,F,34,1085715055,39500000,3
홍형길,M,39,1040613743,1900000,9
박소현,F,48,1020532077,5700000,6
박세걸,M,31,1019004534,2600000,10
정민영,M,57,1077859907,4400000,9
권인분,F,50,1012325269,124700000,3
김점식,M,77,1066243872,32000000,5
박성춘,M,81,1096096163,18400000,6
안상규,M,37,1093974703,130700000,4
유상언,M,75,1044234436,1900000,8
이선자,F,75,1042431243,41100000,7
유재송,M,53,1060456366,894000000,2
백찬기,M,62,1025463938,101900000,3
